rentabilisation		.+ation$
obscuration		.+ation$
réprobation		.+ation$
cancérisation		.+ation$
tamisation		.+ation$
autofécondation		.+ation$
déclamation		.+ation$
majoration		.+ation$
upérisation		.+ation$
humification		.+ation$
coalisation		.+ation$
infestation		.+ation$
sécularisation		.+ation$
exaspération		.+ation$
podzolisation		.+ation$
surréservation		.+ation$
ultraspécialisation		.+ation$
syncrétisation		.+ation$
néantisation		.+ation$
illustration		.+ation$
réformation		.+ation$
hydratation		.+ation$
psychologisation		.+ation$
invocation		.+ation$
archaïsation		.+ation$
orientalisation		.+ation$
crémation		.+ation$
surmédicalisation		.+ation$
provincialisation		.+ation$
revivification		.+ation$
corrélation		.+ation$
réitération		.+ation$
copermutation		.+ation$
dessiccation		.+ation$
solubilisation		.+ation$
expectoration		.+ation$
pustulation		.+ation$
surdilatation		.+ation$
fortification		.+ation$
eczématisation		.+ation$
insémination		.+ation$
énumération		.+ation$
profanation		.+ation$
ranimation		.+ation$
favorisation		.+ation$
élucidation		.+ation$
scarification		.+ation$
anathémisation		.+ation$
requalification		.+ation$
commisération		.+ation$
gesticulation		.+ation$
impétration		.+ation$
décarbonation		.+ation$
déploration		.+ation$
justification		.+ation$
peptonisation		.+ation$
pollinisation		.+ation$
postérisation		.+ation$
défiguration		.+ation$
optimalisation		.+ation$
revalorisation		.+ation$
dissimilation		.+ation$
anhélation		.+ation$
aristocratisation		.+ation$
conformation		.+ation$
apprésentation		.+ation$
socialisation		.+ation$
réimplantation		.+ation$
castration		.+ation$
prénomination		.+ation$
surmultiplication		.+ation$
légation		.+ation$
macération		.+ation$
infiltration		.+ation$
désectorisation		.+ation$
fabulation		.+ation$
levuration		.+ation$
nécessitation		.+ation$
expérimentation		.+ation$
tonification		.+ation$
terrorisation		.+ation$
évaporation		.+ation$
exhortation		.+ation$
molestation		.+ation$
parabolisation		.+ation$
acétylation		.+ation$
démagnétisation		.+ation$
concrétisation		.+ation$
oblitération		.+ation$
prématuration		.+ation$
yodisation		.+ation$
gémination		.+ation$
pronominalisation		.+ation$
intégration		.+ation$
didactisation		.+ation$
anatomisation		.+ation$
métamérisation		.+ation$
exhérédation		.+ation$
dénucléarisation		.+ation$
réorientation		.+ation$
imbrication		.+ation$
défénestration		.+ation$
désaération		.+ation$
décatholicisation		.+ation$
adultération		.+ation$
conciliation		.+ation$
vaccination		.+ation$
sérialisation		.+ation$
identification		.+ation$
divulgation		.+ation$
gastrulation		.+ation$
épithélialisation		.+ation$
copulation		.+ation$
déconcentration		.+ation$
initialisation		.+ation$
natation		.+ation$
registration		.+ation$
pistation		.+ation$
surexcitation		.+ation$
réoxydation		.+ation$
réhydratation		.+ation$
subalternisation		.+ation$
différenciation		.+ation$
conjecturation		.+ation$
criminalisation		.+ation$
appertisation		.+ation$
réembarcation		.+ation$
immatérialisation		.+ation$
épilation		.+ation$
décoloration		.+ation$
autogénération		.+ation$
révolutionnarisation		.+ation$
tonalisation		.+ation$
schizophrénisation		.+ation$
compensation		.+ation$
alkylation		.+ation$
décentration		.+ation$
collimation		.+ation$
congratulation		.+ation$
saturation		.+ation$
régionalisation		.+ation$
déméthanisation		.+ation$
déchloruration		.+ation$
municipalisation		.+ation$
densification		.+ation$
autocongratulation		.+ation$
argumentation		.+ation$
élongation		.+ation$
tunnellisation		.+ation$
contrepassation		.+ation$
actuation		.+ation$
insculpation		.+ation$
inondation		.+ation$
nidation		.+ation$
invagination		.+ation$
stillation		.+ation$
suppliciation		.+ation$
démoralisation		.+ation$
polarisation		.+ation$
picturalisation		.+ation$
pandiculation		.+ation$
détractation		.+ation$
aérodynamisation		.+ation$
institutionnalisation		.+ation$
perméabilisation		.+ation$
réglementation		.+ation$
dévaluation		.+ation$
alunation		.+ation$
déclaration		.+ation$
remilitarisation		.+ation$
synthétisation		.+ation$
normalisation		.+ation$
émendation		.+ation$
exondation		.+ation$
violation		.+ation$
désolation		.+ation$
tropicalisation		.+ation$
coparticipation		.+ation$
métamictisation		.+ation$
adjudication		.+ation$
transsudation		.+ation$
potation		.+ation$
préspécialisation		.+ation$
monumentalisation		.+ation$
subminiaturisation		.+ation$
typisation		.+ation$
suturation		.+ation$
décalcification		.+ation$
fabrication		.+ation$
sulfonation		.+ation$
concélébration		.+ation$
décontamination		.+ation$
inhalation		.+ation$
sursignification		.+ation$
omnisignification		.+ation$
positivation		.+ation$
subjugation		.+ation$
