,variable,value
296,Vir,enhardir
297,Vir,désinvestir
298,Vir,pâlir
299,Vir,moisir
300,Vir,anéantir
301,Vir,jaunir
302,Vir,radoucir
303,Vir,catir
304,Vir,rouvrir
305,Vir,raidir
306,Vir,éclaircir
307,Vir,bourrir
308,Vir,devenir
309,Vir,réouvrir
310,Vir,gaudir
311,Vir,mondiovoir
312,Vir,souffrir
313,Vir,renchérir
314,Vir,assoupir
315,Vir,attenir
316,Vir,ressurgir
317,Vir,cotir
318,Vir,rassir
319,Vir,revernir
320,Vir,provoir
321,Vir,dormir
322,Vir,enraidir
323,Vir,remplir
324,Vir,rancir
325,Vir,affaiblir
326,Vir,cramoisir
327,Vir,surenchérir
328,Vir,farcir
329,Vir,aveulir
330,Vir,jouir
331,Vir,issir
332,Vir,rugir
333,Vir,disconvenir
334,Vir,fraîchir
335,Vir,abougrir
336,Vir,querir
337,Vir,venir
338,Vir,frémir
339,Vir,surinvestir
340,Vir,concourir
341,Vir,subvenir
342,Vir,prévoir
343,Vir,fuir
344,Vir,vrombir
345,Vir,travestir
346,Vir,affermir
347,Vir,louchir
348,Vir,voir
349,Vir,esbaudir
350,Vir,bondir
351,Vir,élargir
352,Vir,rosir
353,Vir,assourdir
354,Vir,dévêtir
355,Vir,florir
356,Vir,rassortir
357,Vir,réassortir
358,Vir,reconvertir
359,Vir,démolir
360,Vir,dégauchir
361,Vir,faillir
362,Vir,revêtir
363,Vir,blettir
364,Vir,déraidir
365,Vir,blétir
366,Vir,assagir
367,Vir,crépir
368,Vir,pâtir
369,Vir,advenir
370,Vir,vieillir
371,Vir,entrouvrir
372,Vir,recueillir
373,Vir,endormir
374,Vir,accroupir
375,Vir,doucir
376,Vir,desservir
377,Vir,défleurir
378,Vir,emboutir
379,Vir,néantir
380,Vir,choisir
381,Vir,brunir
382,Vir,rafraîchir
383,Vir,répartir
384,Vir,raffermir
385,Vir,aigrir
386,Vir,investir
387,Vir,enchérir
388,Vir,repétrir
389,Vir,refuir
390,Vir,racornir
391,Vir,allotir
392,Vir,unir
393,Vir,étrécir
394,Vir,garantir
395,Vir,impartir
396,Vir,aplanir
397,Vir,alentir
398,Vir,dessertir
399,Vir,assouplir
400,Vir,émouvoir
401,Vir,garnir
402,Vir,endurcir
403,Vir,entretenir
404,Vir,introvertir
405,Vir,décatir
406,Vir,conquérir
407,Vir,consentir
408,Vir,grossir
409,Vir,recouvrir
410,Vir,abêtir
411,Vir,aguerrir
412,Vir,réunir
413,Vir,souvenir
414,Vir,grandir
415,Vir,assentir
416,Vir,obscurcir
417,Vir,autopunir
418,Vir,mollir
419,Vir,resplendir
420,Vir,sancir
421,Vir,enrichir
422,Vir,ralentir
2296,Nissement,démolissement
2297,Nissement,gémissement
2298,Nissement,désangoissement
2299,Nissement,ressurgissement
2300,Nissement,accroupissement
2301,Nissement,bondissement
2302,Nissement,convertissement
2303,Nissement,raplatissement
2304,Nissement,renchérissement
2305,Nissement,roidissement
2306,Nissement,réjouissement
2307,Nissement,assourdissement
2308,Nissement,nourrissement
2309,Nissement,surgissement
2310,Nissement,renforcissement
2311,Nissement,réassainissement
2312,Nissement,allotissement
2313,Nissement,agrandissement
2314,Nissement,fléchissement
2315,Nissement,jaillissement
2316,Nissement,pissement
2317,Nissement,raidissement
2318,Nissement,rebondissement
2319,Nissement,enhardissement
2320,Nissement,atterrissement
2321,Nissement,enlaidissement
2322,Nissement,réinvestissement
2323,Nissement,agissement
2324,Nissement,grandissement
2325,Nissement,dévissement
2326,Nissement,embellissement
2327,Nissement,adoucissement
2328,Nissement,rabougrissement
2329,Nissement,rôtissement
2330,Nissement,froissement
2331,Nissement,arrondissement
2332,Nissement,raccourcissement
2333,Nissement,durcissement
2334,Nissement,transissement
2335,Nissement,verdissement
2336,Nissement,affranchissement
2337,Nissement,mollissement
2338,Nissement,apetissement
2339,Nissement,abolissement
2340,Nissement,déraidissement
2341,Nissement,envahissement
2342,Nissement,crissement
2343,Nissement,obscurcissement
2344,Nissement,sertissement
2345,Nissement,infléchissement
2346,Nissement,enfouissement
2347,Nissement,gaudissement
2348,Nissement,mûrissement
2349,Nissement,rendurcissement
2350,Nissement,tarissement
2351,Nissement,assujettissement
2352,Nissement,abougrissement
2353,Nissement,anoblissement
2354,Nissement,élargissement
2355,Nissement,éblouissement
2356,Nissement,finissement
2357,Nissement,avertissement
2358,Nissement,brandissement
2359,Nissement,blétissement
2360,Nissement,flétrissement
2361,Nissement,glapissement
2362,Nissement,empoissement
2363,Nissement,rembrunissement
2364,Nissement,blettissement
2365,Nissement,gravissement
2366,Nissement,fournissement
2367,Nissement,tiédissement
2368,Nissement,améliorissement
2369,Nissement,noircissement
2370,Nissement,ralentissement
2371,Nissement,appauvrissement
2372,Nissement,fouissement
2373,Nissement,emboutissement
2374,Nissement,reverdissement
2375,Nissement,replissement
2376,Nissement,avachissement
2377,Nissement,rajeunissement
2378,Nissement,dépérissement
2379,Nissement,vêtissement
2380,Nissement,radoucissement
2381,Nissement,rosissement
2382,Nissement,intervertissement
2383,Nissement,engourdissement
2384,Nissement,baissement
2385,Nissement,enraidissement
2386,Nissement,hennissement
2387,Nissement,réfléchissement
2388,Nissement,blondissement
2389,Nissement,désinvestissement
2390,Nissement,affaiblissement
2391,Nissement,enorgueillissement
2392,Nissement,fleurissement
2393,Nissement,invertissement
2394,Nissement,bénissement
2395,Nissement,chérissement
2396,Nissement,écrouissement
2397,Nissement,ensevelissement
2398,Nissement,surenchérissement
2399,Nissement,affermissement
2400,Nissement,abasourdissement
2401,Nissement,ahurissement
2402,Nissement,moisissement
2403,Nissement,plissement
2404,Nissement,assainissement
2405,Nissement,affadissement
2406,Nissement,alanguissement
2407,Nissement,défroissement
2408,Nissement,bêtissement
2409,Nissement,rélargissement
2410,Nissement,rendormissement
2411,Nissement,accourcissement
2412,Nissement,aplatissement
2413,Nissement,abalourdissement
2414,Nissement,saisissement
2415,Nissement,vagissement
2416,Nissement,blottissement
2417,Nissement,déplissement
2418,Nissement,désengourdissement
2419,Nissement,enchérissement
2420,Nissement,alentissement
2421,Nissement,endormissement
2422,Nissement,rejaillissement
2423,Nissement,roussissement
2424,Nissement,surinvestissement
2425,Nissement,brunissement
2426,Nissement,pétrissement
2427,Nissement,poissement
2428,Nissement,trissement
2429,Nissement,débrutissement
2430,Nissement,ravissement
2431,Nissement,bleuissement
2432,Nissement,florissement
2433,Nissement,ratissement
2434,Nissement,enrichissement
2435,Nissement,blanchissement
2436,Nissement,lissement
2437,Nissement,ameublissement
2438,Nissement,défraîchissement
2439,Nissement,jouissement
2440,Nissement,bannissement
2441,Nissement,surbaissement
2442,Nissement,barrissement
2443,Nissement,ternissement
2444,Nissement,aplanissement
2445,Nissement,assombrissement
2446,Nissement,équarrissement
2447,Nissement,abêtissement
2448,Nissement,périssement
2449,Nissement,rapetissement
2450,Nissement,nantissement
2451,Nissement,assouvissement
2452,Nissement,rétrécissement
